,character,line,episode number
185,JERRY," So, I’m on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the...",2
186,JERRY," Cheque. Now, the fact is, if it’s a woman in front of you that’s writing the cheque, you will not be waiting long. I have noticed that women are very fast with cheques, y’know, ‘cause they write out so many cheques. The keys, they can never find in their purse, they don’t know where that is, but the cheque book",2
187,ELAINE, “Coccoon II,2
188,JERRY," Maybe they came back for Chinese food. Y’know Maureen Stapleton, if she gets a craving, she’s probably screamin’ at those aliens, “I gotta have a lo mein!”",2
189,ELAINE," Okay, what’re we doing here? I have seen everything.",2
190,JERRY, Oh yeah? I don’t believe you’ve seen... this.,2
191,ELAINE," Oh, lovely.",2
192,JERRY, Yeah.,2
193,ELAINE, What do you think their parents think?,2
194,JERRY," “So, uh, what’s your son doing now, Dr. Stevens?” “Oh, he’s a public fornicator. Yes, he’s a fine boy...”",2
195,ELAINE, Y’know what? This would be a really funny gift for Pamela’s birthday.,2
196,JERRY, Pamela? Do I know her?,2
197,ELAINE," Yeah, you met her when we were going out.",2
198,JERRY," Oh yeah, right...",2
199,ELAINE," You have no idea who I’m talking about, do you?",2
200,JERRY,  No.,2
201,ELAINE," Blonde hair, remember? Glasses?  Have you totally blocked out the entire time we were a couple?",2
202,JERRY,  Riverside Drive.,2
203,ELAINE," Right! In fact... No, never mind...",2
204,JERRY," Well, what is it?",2
205,ELAINE," Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but...  you don’t want to go to... that... no.",2
206,JERRY," Wait a second, wait a second. We could work out a little deal here.",2
207,ELAINE, What little deal?,2
208,JERRY," I will go to that, if you go with me to a little family wedding I have on Saturday.",2
209,ELAINE," A wedding? Have you lost it, man?",2
210,JERRY," Y’know, my parents are coming in for this...",2
211,ELAINE, They’re coming in?,2
212,JERRY," Yeah, tomorrow.",2
213,ELAINE," Hey, did your father ever get that hair weave?",2
214,JERRY," No, no. Still doin’ the big sweep across.",2
215,ELAINE, Why does he do that?,2
216,JERRY," Doesn’t think anyone can tell. So c’mon, do we have a deal?",2
217,ELAINE, A wedding?,2
218,JERRY, There’s a lot of people to mock...,2
219,ELAINE," All right, what the hell.",2
220,JERRY, Great!,2
221,ELAINE, C’mon lets go...,2
222,JERRY, Was I supposed to bring something?,2
223,ELAINE, You could have.,2
224,JERRY, I met her one time...,2
225,ELAINE, It is not necessary.,2
226,JERRY, What did you say then?,2
227,ELAINE, Sssshhhhhh!!!,2
228,ELAINE," Hi, Pamela, you remember Jerry.",2
229,JERRY," Hi, happy birthday.",2
230,JERRY, I didn’t bring anything.,2
231,JERRY," Oh, Okay  I’m sorry, I didn’t know what to bring, nobody told me.",2
232,JERRY, I’m in for five...,2
233,JERRY,  Uh-oh... What do we have here?,2
234,JERRY," Oh, I can’t. Uh, I have a tendency to get chilly.",2
235,JERRY," Plus I’m wearing short sleeves, I don’t want to expose my tattoos.  She’s unbelievable!",2
236,JERRY,"  What’s going on here? Gotta be her boyfriend, she’s too good to be alone. What’s the difference, I can’t maneouver anyway with Elaine next to me.",2
237,JERRY," Uh, friend of a friend. And you?",2
238,ELAINE,"  Oh, Jerry!",2
239,JERRY,"  Oh no, not now.",2
240,ELAINE, I had this dream last night and you were in it.,2
241,JERRY," Oh really?  Oh God, I gotta get out of this.",2
242,ELAINE," You were you, but, you weren’t you...",2
243,JERRY," No kidding.  Why is this happening? Please, make her stop!",2
244,ELAINE," I think, I think we were in my house where I grew up, and you were standing there, you were looking out the window...",2
245,JERRY,  This is brutal.,2
246,ELAINE, You turned around and you had these wooden teeth.,2
247,JERRY," How do you like that? Can I turn now? Is this over? No, I can’t, I can’t. I’m stuck.",2
248,ELAINE,  Jerry? Are you listening to me?,2
249,JERRY," Yes, I heard you.",2
250,JERRY,"  Thank you, Pamela!  So, you’re a lawyer...",2
251,JERRY,"  Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft...  Of course, they handled my tattoo removal lawsuit.",2
252,JERRY," Imagine, spelling “Mom” with two O’s.",2
253,JERRY, Comedian.,2
254,JERRY,"  Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft.",2
255,JERRY,"  I can’t believe it. I got nothing! I don’t even know her name! Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag...",2
256,JERRY," That wasn’t so bad, really.",2
257,ELAINE," Y’know, um, you could use a little work on your manners.",2
258,JERRY, Why? What did I do?,2
259,ELAINE," Wel-Well, I just don’t appreciate these little courtesy responses, like I’m selling you aluminum siding.",2
260,JERRY, I was listening!,2
261,ELAINE, No! You couldn’t wait to get back to your little... “conversation”.,2
262,JERRY," No, you were talking about the, the um, the dream you had.",2
263,ELAINE, Uh-huh...,2
264,JERRY," Where you had, uh, wooden teeth.",2
265,ELAINE," No! No! You had wooden teeth! You had wooden teeth! I didn’t have wooden teeth, you did!",2
266,JERRY," All right, so I had wooden teeth, so what?",2
267,ELAINE, So nothing! Nothing. ,2
268,JERRY," Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said, “Yeah, I got this new thing",2
269,JERRY, Hey!,2
270,JERRY," This is what I like, see? You come home and your parents are in your bed!",2
271,JERRY," What are you talkin’ about? It’s fine, I love having you here.",2
272,JERRY," Ma, will you stop?",2
273,JERRY, I don’t care. I’m sleeping next door.,2
274,JERRY," No, he’s making a bouillabaisse.",2
275,JERRY," So, dad, lemme ask you a question. How many people work at these big law offices?",2
276,JERRY," Yeah, but if you called up and described someone, do you think they would know who it was?",2
277,JERRY," No, I met someone at this party, and I know where she works, but I don’t know her name.",2
278,JERRY," Nah, the only one I could ask is Elaine, and I can’t ask her.",2
279,JERRY, Because it’s complicated. There’s some tension there.,2
280,JERRY," Oh yeah, she’s great.",2
281,JERRY," Well, it’s a tough thing to talk about uh. I dunno...",2
282,JERRY, You don’t know what it was.,2
283,JERRY," Well, we fight a lot for some reason.",2
284,JERRY, And there was a little problem with the physical chemistry.,2
285,JERRY," Oh, she is, she absolutely is.",2
286,JERRY," No, it’s not that. It wasn’t all one-sided.",2
287,JERRY," I know, I know...",2
288,JERRY, That’s got nothin’ to do with it.,2
289,JERRY," What are you two talking about? Look, Elaine just wasn’t the one.",2
290,JERRY," I dunno, maybe...",2
291,JERRY," I can’t. She’ll get upset. I never talk about other women with her, especially this one tonight.",2
292,JERRY, We’re friends.,2
293,JERRY, Oh yeah.,2
294,JERRY, I guess.,2
295,JERRY, You mean stakeout the lobby?,2
296,JERRY, Y’know what? This is not that bad an idea.,2
297,GEORGE, What does she look like?,2
298,JERRY, I dunno. Hard to say.,2
299,GEORGE, What actress does she remind you of?,2
300,JERRY, Loni Anderson.,2
301,GEORGE, Loni Anderson?!,2
302,JERRY," What, there’s something wrong with Loni Anderson?  Hey listen, thanks again for running over here. I appreciate it.",2
303,GEORGE," Yeah, sure. I was showing a condo on 48th street. Besides, you think I wanna miss this? ",2
304,JERRY, I’m a little nervous.,2
305,GEORGE," Yeah, me too...",2
306,JERRY," If I see her, what do I say that I’m doing here in the building?",2
307,GEORGE, You came to see me. I work in the building.,2
308,JERRY, What do you do?,2
309,GEORGE, I’m an architect.,2
310,JERRY, You’re an architect?,2
311,GEORGE, I’m not?,2
312,JERRY, I don’t see architecture comin from you.,2
313,GEORGE,  I suppose you could be an architect.,2
314,JERRY, I never said that I was the architect. Just somethin’ else.,2
315,GEORGE," All right, she’s not even gonna ask, if we see her, which is remote.",2
316,JERRY," Well whaddaya want me to say, that I just wandered in here?",2
317,GEORGE, We’re having lunch with a friend. He works in the building.,2
318,JERRY, What is his name?,2
319,GEORGE, Bert... Har... bin... son. Bert Har-bin-son.,2
320,JERRY, Bert Harbinson? It sounds made up.,2
321,GEORGE," No good? All right, uh how about Art... Cor.....",2
322,JERRY, Art Cor...,2
323,GEORGE, ...velay.,2
324,JERRY, Corvelay?,2
325,GEORGE," Yeah, right.",2
326,JERRY," Well, what does he do?",2
327,GEORGE, He’s an importer.,2
328,JERRY," Just imports, no exports?",2
329,GEORGE,"  He’s an importer/exporter, okay?  Elaine ever call you back?",2
330,JERRY," No, I guess she’s still mad.",2
331,GEORGE," I don’t understand, you never talk to her about other women?",2
332,JERRY, Never.  Wait a second. That’s her. On the right.,2
333,GEORGE,  I forgot who I am! Who am I?!,2
334,JERRY, You’re you. We’re having lunch with Art Corvelay.,2
335,GEORGE, Vandelay!,2
336,JERRY, Corvelay!,2
337,GEORGE, Let me be the architect! I can do it!,2
338,JERRY," Hey, hey. uh Pamela’s birthday party, didn’t I see you there? Jerry.",2
339,JERRY," Uh, this is George.  I’m sorry...",2
340,GEORGE, Nice to meet you.,2
341,JERRY," Ah, Sagman, Bennet, Robbins, Oppenheim and Taft.",2
342,JERRY," Oh, we’re meeting a friend of ours for lunch. He works here in the building.",2
343,GEORGE," Yeah, Art Vandelay.",2
344,GEORGE, ...And exporter.,2
345,JERRY, He’s an importer/exporter.,2
346,GEORGE,"  I’m, uh, I’m an architect.",2
347,GEORGE," Uh, railroads, uh...",2
348,GEORGE, They can...,2
349,JERRY, Y’know I’m sorry you had to leave so early the other night.,2
350,JERRY," Oh, that guy was your cousin! ",2
351,JERRY, Friend!,2
352,GEORGE," I’ll just, uh, get a paper...",2
353,JERRY," So, um, do you date uh immature men?",2
354,JERRY,"  Ma, will you go already?",2
355,JERRY, What are you doing?!,2
356,JERRY," You can’t look in there, we’re playing!",2
357,KRAMER, Hi.,2
358,JERRY, Hi.,2
359,KRAMER, Hey Morty!  Salad dressing?,2
360,JERRY, Look.,2
361,JERRY, Maybe!,2
362,JERRY," Ma, you can’t look up words in the dictionary!  Dad, she’s cheating!",2
363,KRAMER, “Quo”? That’s not a word.,2
364,JERRY," Well put something down, you’re taking twenty minutes on this. So is Uncle Mac and Artie, they’re all coming over here before the wedding?",2
365,JERRY, She said what?,2
366,JERRY," She knows! Oh, I am such a jackass.",2
367,JERRY, She knows the whole stupid thing. Vanessa and the elevator...,2
368,JERRY," Because, Vanessa probably told Pamela, and Pamela probably told Elaine.",2
369,JERRY, Yes. Yes I am!  What else did she say on the phone?,2
370,JERRY," Yeah, but what was the tone in her voice? How did she sound?",2
371,JERRY," Yeah, but now I’m nervous.",2
372,JERRY, “Quone”?,2
373,JERRY," “Quone”? No, I’m afraid that I’m going to have to challenge that.",2
374,KRAMER," No, you don’t have to challenge that. That’s a word. That’s a definite word.",2
375,JERRY, I am challenging.,2
376,KRAMER, Quone. To quone something.,2
377,JERRY, Uh-huh.,2
378,JERRY, No good. Sorry. There it is. Get it off.,2
379,KRAMER," Nah, we need a medical dictionary! If a patient gets difficult, you quone him.",2
380,JERRY, You must have quite a time down there.,2
381,JERRY," Oh, I’m sorry. I’m just waiting for someone.",2
382,JERRY," Yeah, yeah...",2
383,JERRY," Yeah, Uncle Mac, you mentioned it.",2
384,JERRY, That’s perfect.,2
385,JERRY, Could you excuse me one second? I’m sorry.,2
386,JERRY," How do you do?  Uh, Jerry Seinfeld.",2
387,ELAINE," Oh, how do you do? Elaine Benes.",2
388,JERRY," Um, do you want to do this now, or do you want to wait until we get in the car?",2
389,ELAINE," Oh no, let’s do it now.",2
390,JERRY," All right, the whole elevator business, let me just explain-",2
391,ELAINE, Okay.,2
392,JERRY," No, I’m gonna take my car.",2
393,JERRY," Anyway, you know why I didn’t ask you, I mean I felt so uncomfortable, and you were so annoyed in the cab.",2
394,ELAINE," Well, Jerry, I never saw you flirt with anyone before. It was quite the spectacle.",2
395,ELAINE," Oh, bye. Good to see you.",2
396,JERRY," Oh, I’m sorry. Elaine, this is my cousin, Artie Levine.",2
